"variable name","field length"
"IHIALM03","1"
"IHIALF03","1"
"IHIALU03","1"
"IBLACK03","1"
"IBLALM03","1"
"IBLALF03","1"
"IBLALU03","1"
"IWHITE03","1"
"IWHALM03","1"
"IWHALF03","1"
"IWHALU03","1"
"IETH03","1"
"IPUTCH03","1"
"ITOTGR03","1"
