variable name,field length
IHI09U05,"1	"
IBL09M05,"1	"
IBL09F05,"1	"
IBL09U05,"1	"
IWH09M05,"1	"
IWH09F05,"1	"
IWH09U05,"1	"
"IG1005	","1	"
IAM10M05,"1	"
IAM10F05,"1	"
IAM10U05,"1	"
IAS10M05,"1	"
IAS10F05,"1	"
IAS10U05,"1	"
IHI10M05,"1	"
IHI10F05,"1	"
IHI10U05,"1	"
IBL10M05,"1	"
IBL10F05,"1	"
IBL10U05,"1	"
IWH10M05,"1	"
IWH10F05,"1	"
IWH10U05,"1	"
"IG1105	","1	"
IAM11M05,"1	"
IAM11F05,"1	"
IAM11U05,"1	"
IAS11M05,"1	"
IAS11F05,"1	"
IAS11U05,"1	"
IHI11M05,"1	"
IHI11F05,"1	"
IHI11U05,"1	"
IBL11M05,"1	"
IBL11F05,"1	"
IBL11U05,"1	"
IWH11M05,"1	"
IWH11F05,"1	"
IWH11U05,"1	"
"IG1205	","1	"
IAM12M05,"1	"
IAM12F05,"1	"
IAM12U05,"1	"
IAS12M05,"1	"
IAS12F05,"1	"
IAS12U05,"1	"
IHI12M05,"1	"
IHI12F05,"1	"
IHI12U05,"1	"
IBL12M05,"1	"
IBL12F05,"1	"
IBL12U05,"1	"
IWH12M05,"1	"
IWH12F05,"1	"
IWH12U05,"1	"
"IUG05	","1	    A"
IAMUGM05,"1	"
IAMUGF05,"1	"
IAMUGU05,"1	"
IASUGM05,"1	"
IASUGF05,"1	"
IASUGU05,"1	"
IHIUGM05,"1	"
IHIUGF05,"1	"
IHIUGU05,"1	"
IBLUGM05,"1	"
IBLUGF05,"1	"
IBLUGU05,"1	"
IWHUGM05,"1	"
IWHUGF05,"1	"
IWHUGU05,"1	"
"IMEMB05	","1	"
"IAM05	","1	    A"
IAMALM05,"1	"
IAMALF05,"1	"
IAMALU05,"1	"
IASIAN05,"1	"
IASALM05,"1	"
IASALF05,"1	"
IASALU05,"1	"
"IHISP05	","1	"
IHIALM05,"1	"
IHIALF05,"1	"
